Dependency ID,Predecessor Code,Successor Code,Type,Lag
"dep-civ-clea-0001-civ-exca-0002","CIV-CLEA-0001","CIV-EXCA-0002","FS",0
"dep-civ-clea-0001-civ-rein-0012","CIV-CLEA-0001","CIV-REIN-0012","FS",0
"dep-civ-clea-0001-civ-rein-0020","CIV-CLEA-0001","CIV-REIN-0020","FF",1
"dep-civ-clea-0001-civ-form-0029","CIV-CLEA-0001","CIV-FORM-0029","FF",0
"dep-civ-exca-0002-civ-rein-0012","CIV-EXCA-0002","CIV-REIN-0012","SS",2
"dep-civ-exca-0002-civ-rein-0020","CIV-EXCA-0002","CIV-REIN-0020","FS",0
"dep-civ-exca-0002-civ-form-0029","CIV-EXCA-0002","CIV-FORM-0029","FS",0
"dep-civ-exca-0002-civ-clea-0033","CIV-EXCA-0002","CIV-CLEA-0033","SF",0
"dep-civ-rein-0012-civ-rein-0020","CIV-REIN-0012","CIV-REIN-0020","FS",0
"dep-civ-rein-0012-civ-form-0029","CIV-REIN-0012","CIV-FORM-0029","FS",1
"dep-civ-rein-0012-civ-clea-0033","CIV-REIN-0012","CIV-CLEA-0033","FS",0
"dep-civ-rein-0012-civ-back-0047","CIV-REIN-0012","CIV-BACK-0047","FS",0
"dep-civ-rein-0020-civ-form-0029","CIV-REIN-0020","CIV-FORM-0029","FS",0
"dep-civ-rein-0020-civ-clea-0033","CIV-REIN-0020","CIV-CLEA-0033","FS",0
"dep-civ-rein-0020-civ-back-0047","CIV-REIN-0020","CIV-BACK-0047","FS",0
"dep-civ-rein-0020-civ-rein-0052","CIV-REIN-0020","CIV-REIN-0052","FS",0
"dep-civ-form-0029-civ-clea-0033","CIV-FORM-0029","CIV-CLEA-0033","FS",0
"dep-civ-form-0029-civ-back-0047","CIV-FORM-0029","CIV-BACK-0047","SF",0
"dep-civ-form-0029-civ-rein-0052","CIV-FORM-0029","CIV-REIN-0052","FS",0
"dep-civ-form-0029-civ-exca-0066","CIV-FORM-0029","CIV-EXCA-0066","FS",0
"dep-civ-clea-0033-civ-back-0047","CIV-CLEA-0033","CIV-BACK-0047","FS",0
"dep-civ-clea-0033-civ-rein-0052","CIV-CLEA-0033","CIV-REIN-0052","FF",2
"dep-civ-clea-0033-civ-exca-0066","CIV-CLEA-0033","CIV-EXCA-0066","FF",1
"dep-civ-clea-0033-civ-rein-0076","CIV-CLEA-0033","CIV-REIN-0076","FS",0
"dep-civ-back-0047-civ-rein-0052","CIV-BACK-0047","CIV-REIN-0052","FS",1
"dep-civ-back-0047-civ-exca-0066","CIV-BACK-0047","CIV-EXCA-0066","FS",3
"dep-civ-back-0047-civ-rein-0076","CIV-BACK-0047","CIV-REIN-0076","SF",0
"dep-civ-back-0047-civ-clea-0081","CIV-BACK-0047","CIV-CLEA-0081","FS",0
"dep-civ-rein-0052-civ-exca-0066","CIV-REIN-0052","CIV-EXCA-0066","FS",0
"dep-civ-rein-0052-civ-rein-0076","CIV-REIN-0052","CIV-REIN-0076","FS",0
"dep-civ-rein-0052-civ-clea-0081","CIV-REIN-0052","CIV-CLEA-0081","FS",3
"dep-civ-rein-0052-civ-back-0079","CIV-REIN-0052","CIV-BACK-0079","FS",0
"dep-civ-exca-0066-civ-rein-0076","CIV-EXCA-0066","CIV-REIN-0076","FS",3
"dep-civ-exca-0066-civ-clea-0081","CIV-EXCA-0066","CIV-CLEA-0081","FS",0
"dep-civ-exca-0066-civ-back-0079","CIV-EXCA-0066","CIV-BACK-0079","FS",0
"dep-civ-exca-0066-civ-conc-0086","CIV-EXCA-0066","CIV-CONC-0086","FS",0
"dep-civ-rein-0076-civ-clea-0081","CIV-REIN-0076","CIV-CLEA-0081","FS",0
"dep-civ-rein-0076-civ-back-0079","CIV-REIN-0076","CIV-BACK-0079","FS",0
"dep-civ-rein-0076-civ-conc-0086","CIV-REIN-0076","CIV-CONC-0086","FS",0
"dep-civ-rein-0076-civ-conc-0102","CIV-REIN-0076","CIV-CONC-0102","FS",0
"dep-civ-clea-0081-civ-back-0079","CIV-CLEA-0081","CIV-BACK-0079","FS",0
"dep-civ-clea-0081-civ-conc-0086","CIV-CLEA-0081","CIV-CONC-0086","FS",0
"dep-civ-clea-0081-civ-conc-0102","CIV-CLEA-0081","CIV-CONC-0102","FS",3
"dep-civ-clea-0081-civ-exca-0106","CIV-CLEA-0081","CIV-EXCA-0106","FF",0
"dep-civ-back-0079-civ-conc-0086","CIV-BACK-0079","CIV-CONC-0086","FS",0
"dep-civ-back-0079-civ-conc-0102","CIV-BACK-0079","CIV-CONC-0102","FS",0
"dep-civ-back-0079-civ-exca-0106","CIV-BACK-0079","CIV-EXCA-0106","FS",0
"dep-civ-back-0079-civ-clea-0113","CIV-BACK-0079","CIV-CLEA-0113","FF",3
"dep-civ-conc-0086-civ-conc-0102","CIV-CONC-0086","CIV-CONC-0102","FS",0
"dep-civ-conc-0086-civ-exca-0106","CIV-CONC-0086","CIV-EXCA-0106","FS",0
"dep-civ-conc-0086-civ-clea-0113","CIV-CONC-0086","CIV-CLEA-0113","FS",0
"dep-civ-conc-0086-civ-conc-0118","CIV-CONC-0086","CIV-CONC-0118","FS",0
"dep-civ-conc-0102-civ-exca-0106","CIV-CONC-0102","CIV-EXCA-0106","FS",1
"dep-civ-conc-0102-civ-clea-0113","CIV-CONC-0102","CIV-CLEA-0113","FS",0
"dep-civ-conc-0102-civ-conc-0118","CIV-CONC-0102","CIV-CONC-0118","FS",0
"dep-civ-conc-0102-civ-exca-0122","CIV-CONC-0102","CIV-EXCA-0122","FS",0
"dep-civ-exca-0106-civ-clea-0113","CIV-EXCA-0106","CIV-CLEA-0113","SS",3
"dep-civ-exca-0106-civ-conc-0118","CIV-EXCA-0106","CIV-CONC-0118","FS",3
