Activity ID,WBS Code,Name,Description,Discipline,Activity Type,Location,Equipment Tag,Planned Start,Planned Finish,Duration Days,Planned Progress,Actual Progress,Status,Critical Path
"CIV-CLEA-0001","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.1","Site Clearing & Grubbing - Excavation Footprint","Site Clearing & Grubbing for Excavation Footprint located at Control Room & Admin (Telecom & Server Room).","CIVIL","CLEARING","Control Room & Admin - Telecom & Server Room","","2026-03-01T08:00:00.000Z","2026-03-07T08:00:00.000Z",6,1,1,"COMPLETED",false
"CIV-EXCA-0002","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.1 > 1.1.1.1.1.1","Bulk & Foundation Excavation - Equipment Pad Footing","Bulk & Foundation Excavation for Equipment Pad Footing located at Control Room & Admin (Field Safety Office).","CIVIL","EXCAVATION","Control Room & Admin - Field Safety Office","","2026-03-04T08:00:00.000Z","2026-03-11T08:00:00.000Z",7,1,1,"COMPLETED",false
"CIV-PCC-0003","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.1 > 1.1.1.1.1.2","Plain Cement Concrete (PCC) Sub-base Pouring - Under-slab Base","Plain Cement Concrete (PCC) Sub-base Pouring for Under-slab Base located at Process Area (Gas Dehydration Unit (TEG)).","CIVIL","PCC","Process Area - Gas Dehydration Unit (TEG)","","2026-03-01T08:00:00.000Z","2026-03-05T08:00:00.000Z",4,1,1,"COMPLETED",false
"CIV-REIN-0004","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.2","Rebar Cutting, Bending & Fixing - Mat Foundation Rebar","Rebar Cutting, Bending & Fixing for Mat Foundation Rebar located at Compressor Area (Gas Turbine Driver Bay).","CIVIL","REINFORCEMENT","Compressor Area - Gas Turbine Driver Bay","","2026-03-01T08:00:00.000Z","2026-03-06T08:00:00.000Z",5,1,1,"COMPLETED",false
"CIV-FORM-0005","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.2 > 1.1.1.1.2.1","Shuttering & Formwork Assembly - Pocket Former Boxes","Shuttering & Formwork Assembly for Pocket Former Boxes located at Compressor Area (Compressor Train 2 (C-102)).","CIVIL","FORMWORK","Compressor Area - Compressor Train 2 (C-102)","","2026-03-06T08:00:00.000Z","2026-03-11T08:00:00.000Z",5,1,1,"COMPLETED",false
"CIV-CONC-0006","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.2 > 1.1.1.1.2.2","Structural Concrete Pouring & Curing - Equipment Pedestals","Structural Concrete Pouring & Curing for Equipment Pedestals located at Compressor Area (Compressor Train 1 (C-101)).","CIVIL","CONCRETE","Compressor Area - Compressor Train 1 (C-101)","","2026-03-03T08:00:00.000Z","2026-03-11T08:00:00.000Z",8,1,1,"COMPLETED",true
"CIV-BACK-0007","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.3","Earth Backfilling & Layer Compaction - Cable Trench","Earth Backfilling & Layer Compaction for Cable Trench located at Main Pipe Rack (North-South Spine Corridor).","CIVIL","BACKFILLING","Main Pipe Rack - North-South Spine Corridor","","2026-03-04T08:00:00.000Z","2026-03-10T08:00:00.000Z",6,1,1,"COMPLETED",false
"CIV-GROU-0008","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.3 > 1.1.1.1.3.1","Non-shrink Precision Baseplate Grouting - Column Base","Non-shrink Precision Baseplate Grouting for Column Base located at Compressor Area (Gas Turbine Driver Bay).","CIVIL","GROUTING","Compressor Area - Gas Turbine Driver Bay","","2026-03-10T08:00:00.000Z","2026-03-14T08:00:00.000Z",4,1,1,"COMPLETED",false
"CIV-CLEA-0009","1.0 > 1.1 > 1.1.1 > 1.1.1.1 > 1.1.1.1.3 > 1.1.1.1.3.2","Site Clearing & Grubbing - Plot Boundary","Site Clearing & Grubbing for Plot Boundary located at Oily Water & Storm Drainage (Corrugated Plate Interceptor (CPI) Basin).","CIVIL","CLEARING","Oily Water & Storm Drainage - Corrugated Plate Interceptor (CPI) Basin","","2026-03-07T08:00:00.000Z","2026-03-10T08:00:00.000Z",3,1,1,"COMPLETED",false
"CIV-EXCA-0010","1.0 > 1.1 > 1.1.1 > 1.1.1.2 > 1.1.1.2.1","Bulk & Foundation Excavation - Trench Line","Bulk & Foundation Excavation for Trench Line located at Oily Water & Storm Drainage (Corrugated Plate Interceptor (CPI) Basin).","CIVIL","EXCAVATION","Oily Water & Storm Drainage - Corrugated Plate Interceptor (CPI) Basin","","2026-03-07T08:00:00.000Z","2026-03-21T08:00:00.000Z",14,1,1,"COMPLETED",true
